sID	Dimensions	Transformation	Side	Variable	Value	Attention_Confirmation	Age	Sex	Duration (sek)
4104	2D	Small	left	selection	2	1	53	2	167
4105	2D	Small	left	selection	1	1	27	1	69
4116	2D	Small	left	selection	2	1	64	2	149
4137	2D	Small	left	selection	2	1	20	1	110
4148	2D	Small	left	selection	2	1	42	1	111
4162	2D	Small	left	selection	2	1	33	2	79
4183	2D	Small	left	selection	1	1	25	2	110
4195	2D	Small	left	selection	2	1	19	1	127
4208	2D	Small	left	selection	2	1	24	1	69
4234	2D	Small	left	selection	2	1	26	1	69
4238	2D	Small	left	selection	1	1	29	2	142
4260	2D	Small	left	selection	1	1	34	2	170
4264	2D	Small	left	selection	1	1	40	2	162
4281	2D	Small	left	selection	2	1	32	2	113
4291	2D	Small	left	selection	2	1	21	2	231
4317	2D	Small	left	selection	2	1	53	1	172
4331	2D	Small	left	selection	1	1	25	2	34
4337	2D	Small	left	selection	1	1	41	2	141
4361	2D	Small	left	selection	2	1	69	2	185
4367	2D	Small	left	selection	2	1	44	2	104
4380	2D	Small	left	selection	1	1	32	2	80
4398	2D	Small	left	selection	2	1	63	1	93
4411	2D	Small	left	selection	2	1	40	2	89
4422	2D	Small	left	selection	1	1	39	1	100
4441	2D	Small	left	selection	2	1	39	2	96
4454	2D	Small	left	selection	2	1	43	1	65
4469	2D	Small	left	selection	2	1	28	2	78
4487	2D	Small	left	selection	2	1	29	2	111
4493	2D	Small	left	selection	2	1	47	2	101
4510	2D	Small	left	selection	2	1	21	1	229
4517	2D	Small	left	selection	2	1	23	2	320
4526	2D	Small	left	selection	2	1	34	2	52
4554	2D	Small	left	selection	1	1	33	2	119
4575	2D	Small	left	selection	2	1	26	1	80
4578	2D	Small	left	selection	2	1	48	1	112
4604	2D	Small	left	selection	2	1	29	2	120
4609	2D	Small	left	selection	2	1	25	1	58
4616	2D	Small	left	selection	1	1	50	1	290
4637	2D	Small	left	selection	1	1	37	2	283
4653	2D	Small	left	selection	2	1	54	1	127
4662	2D	Small	left	selection	2	1	33	1	77
4676	2D	Small	left	selection	2	1	28	2	103
4692	2D	Small	left	selection	1	1	56	2	166
4715	2D	Small	left	selection	1	1	36	2	144
4720	2D	Small	left	selection	1	1	19	2	461
4735	2D	Small	left	selection	1	1	20	1	115
4753	2D	Small	left	selection	1	1	61	2	164
4771	2D	Small	left	selection	2	1	27	1	110
4788	2D	Small	left	selection	1	1	26	1	67
4804	2D	Small	left	selection	2	1	37	1	100
4815	2D	Small	left	selection	1	1	55	2	157
4818	2D	Small	left	selection	2	1	33	1	68
4840	2D	Small	left	selection	1	1	43	2	75
3985	2D	Small	right	selection	2	1	21	2	125
3992	2D	Small	right	selection	1	1	36	2	104
4009	2D	Small	right	selection	2	1	24	2	92
4031	2D	Small	right	selection	2	1	42	1	97
4047	2D	Small	right	selection	1	1	38	1	61
4063	2D	Small	right	selection	2	1	21	2	110
4065	2D	Small	right	selection	1	1	21	3	123
4079	2D	Small	right	selection	2	1	54	1	162
4091	2D	Small	right	selection	1	1	50	2	122
4106	2D	Small	right	selection	1	1	32	2	86
4131	2D	Small	right	selection	2	1	62	2	106
4142	2D	Small	right	selection	2	1	25	2	68
4151	2D	Small	right	selection	2	1	38	2	78
4165	2D	Small	right	selection	1	1	36	2	176
4178	2D	Small	right	selection	2	1	45	2	161
4196	2D	Small	right	selection	2	1	30	1	329
4213	2D	Small	right	selection	2	1	27	2	72
4232	2D	Small	right	selection	1	1	42	2	74
4235	2D	Small	right	selection	1	1	22	1	63
4251	2D	Small	right	selection	1	1	38	2	229
4266	2D	Small	right	selection	2	1	43	1	189
4275	2D	Small	right	selection	1	1	21	2	182
4296	2D	Small	right	selection	1	1	38	1	164
4313	2D	Small	right	selection	2	1	30	2	141
4322	2D	Small	right	selection	1	1	21	1	117
4362	2D	Small	right	selection	1	1	23	2	80
4373	2D	Small	right	selection	2	1	40	2	125
4381	2D	Small	right	selection	2	1	36	2	60
4397	2D	Small	right	selection	2	1	67	1	141
4421	2D	Small	right	selection	2	1	52	1	174
4425	2D	Small	right	selection	2	1	26	1	320
4446	2D	Small	right	selection	1	1	41	2	231
4456	2D	Small	right	selection	2	1	30	2	105
4471	2D	Small	right	selection	1	1	40	2	126
4488	2D	Small	right	selection	2	1	33	1	98
4501	2D	Small	right	selection	2	1	46	1	163
4513	2D	Small	right	selection	2	1	33	1	136
4525	2D	Small	right	selection	2	1	19	1	122
4543	2D	Small	right	selection	1	1	44	1	94
4555	2D	Small	right	selection	2	1	31	1	261
4560	2D	Small	right	selection	1	1	28	2	99
4587	2D	Small	right	selection	2	1	27	1	108
4602	2D	Small	right	selection	2	1	37	1	93
4607	2D	Small	right	selection	1	1	53	2	148
4621	2D	Small	right	selection	2	1	41	1	110
